## Sheet: Forecast
 |  | Power Grid Bangladesh PLC
 |  | National Load Dispatch Center (NLDC)
 |  | Forecasted Generation & Demand of National Grid
 | Date : | 28-06-2026
Sl. | Name of the
 Power Station | Fuel | Producer | Installed Capacity |  | Present Capacity | Actual Generation on |  | Forecasted Available Gen. on |  | Effective Available Gen. on |  | Remarks
 |  |  |  |  |  |  | 27-06-2026 | during | 28-06-2026 | during | 28-06-2026 | during
 |  |  |  |  |  |  | Day Peak | Ev. Peak | Day Peak | Ev. Peak | Day Peak | Ev. Peak
 |  |  |  | Unit No. X Capacity | MW | MW | MW | MW | MW | MW | MW | MW
18 | Kodda 150 MW PP BRPL | HFO | PDB-RPCL | 9*17.06 | 149 | 149.36 | 0 | 15 | 149.36 | 149.36 | 132 | 132 | Liquid fuel shortage
18 | Manikganj 55 MW PP (Northern) | HFO | IPP | 19.3*3 | 55 | 55 | 35 | 35 | 55 | 55 | 35 | 35 | Liquid fuel shortage
20 | Nababganj 55 MW PP (Southern power ) | HFO | IPP | 19.3*3 | 55 | 55 | 0 | 35 | 55 | 55 | 0 | 35 | Liquid fuel shortage
22 | Summit Power Ashulia | Gas | IPP |  | 80 | 33.75 | 21 | 20 | 33 | 33 | 21 | 21 | Low gas pressure
22 | Summit Power Madhabdi | Gas | IPP | 3*3.67+4*8.73 | 80 | 23 | 21 | 17 | 22 | 22 | 22 | 22 | -
25 | Gazipur 52 MW PP | HFO | RPCL | 6*8.9 | 52 | 52.194 | 0 | 25 | 52.19 | 52.19 | 0 | 0 | Liquid fuel shortage
26 | Tongi 80 MW GTPP | Gas | PDB | 1* 105 | 105 | 105 | 0 | 0 | 0 | 0 | 0 | 0 | Under Maintenance of Exciter
27 | Kodda 300 MW PP Unit-2 (Summit) | HFO | IPP | 18*17.06 | 300 | 300 | 81 | 146 | 300 | 300 | 48 | 128 | Liquid fuel shortage
28 | Kodda 149 MW PP Unit-1 (Summit) | HFO | IPP | 8*18.45+8.97 | 149 | 149 | 34 | 132 | 149 | 149 | 70 | 132 | Liquid fuel shortage
29 | Gazipur 100 MW PP | HFO | RPCL | 6*17.5 | 105 | 105 | 0 | 17 | 105 | 105 | 17 | 17 | Liquid fuel shortage
30 | Meghnaghat 104 MW PP (OPCL) | HFO | IPP | 6*18.5 | 104 | 104 | 0 | 0 | 104 | 104 | 0 | 0 | Liquid fuel shortage
31 | Manikgonj 162MW PP(MPGL) | HFO | IPP | 9*18 | 162 | 162 | 17 | 162 | 162 | 162 | 18 | 108 | Liquid fuel shortage
32 | Spectra Solar Plant Ltd. | Solar | IPP |  | 35 | 35 | 23 | 0 | 30 | 0 | 30 | 0 | -
33 | Kanchan Purbachal Power Generation Ltd. | HFO | IPP | 18.4*3 | 55 | 55 | 0 | 0 | 55 | 55 | 0 | 17 | Liquid fuel shortage
34 | Unique Meghnaghat Power Limited (UMPL) | Gas | IPP |  | 584 | 584 | 490 | 480 | 584 | 584 | 526 | 526 | AGC+Gas shortage
35 | Meghnaghat CCPP(Summit)-2 | Gas/HSD | IPP | 1*409+1*202 | 583 | 583 | 555 | 370 | 583 | 583 | 525 | 525 | FGMO
 | JERA Meghnaghat Power Limited | Gas | IPP | 250*2+268 | 0 | 718 | 0 | 0 | 718 | 718 | 0 | 0 | Gas shortage
 | Sreepur 150 MW PP BRPL | HFO | PDB-RPCL | 9*18 | 0 | 160 | 17 | 142 | 160 | 160 | 142 | 142 | Engine Problem
Dhaka Area Total |  |  |  |  | 6001 | 6668.974 | 2027 | 2357 | 5822.22 | 5792.22 | 2314 | 2585
36 | Chattogram TPP | Gas | PDB | 1*210+1*210 | 420 | 360 | 0 | 0 | 0 | 0 | 0 | 0 | Unit #1 Under Maintenance, Unit#2 Gas Shortage
37 | Raozan 25 MW PP | HFO | IPP | 3*8.9 | 25 | 25.5 | 0 | 25.5 | 25.5 | 25.5 | 25.5 | 25.5 | -
38 | Teknaf  20MW PP (Solartech) | Solar | IPP |  | 20 | 20 | 20 | 0 | 16 | 0 | 16 | 0 | -
39 | Patenga 50MW PP (Baraka) | HFO | IPP | 8*6.98 | 50 | 50 | 6 | 6 | 50 | 50 | 6 | 19 | Liquid fuel shortage
40 | Karnaphuli Hydro PP Unit-1,2,3,4, 5 | Hydro | PDB | 2*40+3*50 | 230 | 230 | 89 | 92 | 100 | 100 | 100 | 100 | -
41 | Sikalbaha 225MW CCPP | Gas/HSD | PDB | 1*150+1*75 | 225 | 225 | 215 | 217 | 215 | 220 | 215 | 220 | -
42 | Sikalbaha Peaking GT | Gas/HSD | PDB | 1*150 | 150 | 150 | 0 | 0 | 0 | 0 | 0 | 0 | -
43 | Sikalbaha 105 MW PP (Baraka Sikalbaha) | HFO | IPP | 6*17.5 | 105 | 105 | 0 | 0 | 105 | 105 | 0 | 0 | Liquid fuel shortage
44 | Hathazari 100 MW peaking PP | HFO | PDB | 11*8.9 | 98 | 98 | 30 | 55 | 40 | 56 | 40 | 56 | Liquid fuel shortage
45 | Dohazari -Kalaish 100 MW Peaking | HFO | PDB | 6*17 | 102 | 102 | 0 | 33 | 0 | 51 | 0 | 51 | -
46 | Juldah 100 MW PP Unit-3 (Acorn) | HFO | IPP | 8*13.5 | 100 | 100 | 12 | 12 | 100 | 100 | 12 | 38 | Liquid fuel shortage
 | Malancha, Ctg. EPZ (United) | Gas | IPP | 5*8.73+3*9.34 | 42 | 42 | 5 | 10 | 5 | 24 | 5 | 24 | -
47 | Chattogram 108 MW PP (ECPV) | HFO | IPP | 16*7 | 108 | 108 | 18 | 48 | 108 | 108 | 30 | 80 | Liquid fuel shortage
48 | Kaptai 7 MW  Solar PP | Solar | PDB |  | 7 | 6 | 1.33 | 0 | 2.04 | 0 | 2.04 | 0 | -
49 | Anwara 300 MW PP (United) | HFO | IPP | 17*17+24 | 300 | 300 | 16 | 16 | 300 | 300 | 16 | 16 | Liquid fuel shortage
50 | Jodiac Power | HFO | IPP | 3*18.55+1*3.6 | 54 | 54.363 | 0 | 54.36 | 54.36 | 54.36 | 0 | 54 | -
51 | Karnaphuli Power Ltd. | HFO | IPP | 18.415*6+6.5 | 110 | 110 | 17 | 17 | 110 | 110 | 17 | 17 | Liquid fuel shortage
52 | Juldah unit-2 (Acorn) | HFO | IPP | 8*13.6 | 100 | 100 | 12 | 12 | 100 | 100 | 12 | 38 | Liquid fuel shortage
53 | Anlima Energy Ltd. | HFO | IPP | 6*21.2 | 116 | 116 | 107 | 107 | 116 | 116 | 92 | 92 | FGMO
54 | Mirsharai 150 MW BRPL | HFO/Gas | IPP | 18.5*9 | 163 | 163 | 0 | 0 | 0 | 0 | 0 | 0 | Under Maintenance
55 | SS Power | Coal | IPP | 2*660 | 1224 | 1224 | 720 | 1100 | 1224 | 1224 | 720 | 720 | Coal shortage
56 | Cox's Bazar Wind | Wind | PDB | 22*3 | 60 | 60 | 7 | 14 | 20 | 18 | 20 | 18 | -
57 | Matarbari 2*600 MW (CPGCBL) | Coal | CPGCL | 2*600 | 1150 | 1150 | 520 | 1135 | 1150 | 1150 | 1135 | 1135 | -
Chattogram Area Total |  |  |  |  | 4959 | 4898.863 | 1795.33 | 2953.86 | 3840.9 | 3911.86 | 2463.54 | 2703.5
58 | Ashuganj CCPP 225 MW | Gas | APSCL | 1X142+1X75 | 221 | 221.25 | 201 | 214 | 221.25 | 221.25 | 205.25 | 205.25 | Gas shortage
59 | Ashuganj 450 MW CCPP(North) | Gas | APSCL | 1*360 | 360 | 350.01 | 290 | 290 | 350.01 | 350.01 | 290 | 290 | Gas shortage
60 | Ashuganj 450 MW CCPP(South) | Gas | APSCL | 1*360 | 360 | 342.01 | 290 | 240 | 342.01 | 342.01 | 230 | 230 | Gas shortage
61 | Ashuganj 420 MW CCPP(East) | Gas | APSCL | 284*1+116*1 | 400 | 393 | 230 | 220 | 393 | 393 | 230 | 230 | Gas shortage
62 | Ashuganj TSK 50 MW PP | Gas | APSCL | 14*3.96 | 53 | 46.701 | 0 | 10 | 41.65 | 41.65 | 42 | 42 | -
63 | Ashuganj 55 MW PP (Precision) | Gas | QRPP | 15*4 | 55 | 52.824 | 0 | 0 | 52.82 | 52.82 | 0 | 0 | Gas shortage
64 | Ashuganj 195 MW PP (APSCL-United) | Gas | IPP | 20X9.73+1X16 | 195 | 195 | 0 | 0 | 195 | 195 | 0 | 0 | Gas shortage
65 | Ashuganj 51 MW PP (Midland) | Gas | IPP | 6X9.34 | 51 | 51 | 51 | 51 | 51 | 51 | 51 | 51 | -
66 | Ashuganj 150MW PP (Midland) | HFO | IPP | 23X7.015 | 150 | 150 | 26 | 55 | 150 | 150 | 53 | 150 | -
67 | Titas 50 MW Peaking PP | HFO | PDB | 6*8.92 | 52 | 52 | 0 | 0 | 32 | 32 | 32 | 32 | Engine Problem
68 | Chandpur 150 MW CCPP | Gas | PDB | 1*106+1*57 | 163 | 163 | 90 | 50 | 163 | 163 | 142 | 142 | Gas shortage
69 | Chandpur 200MW (Desh energy) | HFO | IPP | 12*18.4 | 200 | 200 | 17 | 104 | 200 | 200 | 17 | 100 | Liquid fuel shortage
 | Import (Tripura) | Import | Import |  | 160 | 160 | 172 | 154 | 84 | 76 | 160 | 160 | -
71 | Jangalia 52 MW PP (Lakdanavi) | HFO | IPP | 6*8.92 | 52.2 | 52.2 | 0 | 0 | 52.2 | 52.2 | 8 | 52.2 | -
72 | Cumilla 25 MW PP (Summit) | Gas | SIPP,REB | 3*3.67+2*6.97 | 25 | 25 | 8 | 19 | 24.5 | 24.5 | 19 | 19 | -
73 | Feni Lanka Power | HFO | IPP | 7*18.415+1*9.78 | 114 | 114 | 0 | 0 | 114 | 114 | 17 | 114 | -
74 | Chowmuhani 113 MW | HFO | IPP | 12*9.78+2*3.1 | 113 | 113 | 18 | 27 | 113 | 113 | 9 | 18 | Liquid fuel shortage
75 | Chandpur 115(Doreen) | HFO | IPP | 4*18.5+2*22.5 | 115 | 115 | 6 | 88 | 115 | 115 | 34 | 90 | Liquid fuel shortage
76 | Sonagazi 75 MW (AC) Solar Power Plant | Solar | EGCB |  | 75 | 75 | 76 | 0 | 50 | 0 | 50 | 0 | -
Cumilla Area Total |  |  |  |  | 2914.2 | 2870.995 | 1475 | 1522 | 2744.44 | 2686.44 | 1589.25 | 1925.45
Sl. | Name of the
 Power Station | Fuel | Producer | Installed Capacity |  | Present Capacity | Actual Generation on |  | Forecasted Available Gen. on |  | Effective Available Gen. on |  | Remarks
 |  |  |  |  |  |  | 27-06-2026 | during | 28-06-2026 | during | 28-06-2026 | during
 |  |  |  |  |  |  | Day Peak | Ev. Peak | Day Peak | Ev. Peak | Day Peak | Ev. Peak
 |  |  |  | Unit No. X Capacity | MW | MW | MW | MW | MW | MW | MW | MW
 | Muktagacha Solartech Energy Ltd | Solar | IPP | 1*20 | 20 | 20 | 21.3 | 0 | 20 | 0 | 20 | 0 | -
77 | RPCL 210MW CCPP | Gas | RPCL | 4*35+1*70 | 210 | 210 | 5 | 0 | 210 | 210 | 0 | 0 | Low gas pressure
79 | Sarishabari 3 MW Solar Plant | Solar | IPP |  | 3 | 2.71 | 2.1 | 0 | 1.9 | 0 | 1.9 | 0 | -
80 | Mymensingh 200 MW PP (United) | HFO | IPP | 9.78*21 | 200 | 200 | 67 | 97 | 70 | 90 | 70 | 90 | Liquid fuel shortage
81 | Jamalpur 115 MW PP (United) | HFO | IPP | 9.78*12 | 115 | 115 | 58 | 58 | 60 | 70 | 60 | 70 | Liquid fuel shortage
82 | Sutiakhali 50 MW Solar PP | Solar | IPP |  | 50 | 50 | 37.01 | 0 | 48 | 0 | 48 | 0 | -
83 | Tangail Palli Power Gen 22 MW | HFO | IPP | 4*6.7 | 22 | 22 | 0 | 0 | 22 | 22 | 0 | 0 | Liquid fuel shortage
84 | Bhairob 54.5 MW | HFO | IPP | 3*18.2 | 54 | 54.5 | 0 | 17 | 54.5 | 54.5 | 0 | 17 | Liquid fuel shortage
Mymensingh Area Total |  |  |  |  | 674 | 674.21 | 190.41 | 172 | 486.4 | 446.5 | 199.9 | 177
 | Moulvibazar 10 MW Solar Power Plant | Solar | IPP | 1*10 | 0 | 0 | 6 | 0 | 0 | 0 | 0 | 0 | -
85 | Fenchugonj CCPP Phase-1 | Gas | PDB | 2*32+1*33 | 97 | 90 | 28 | 28 | 28 | 28 | 28 | 28 | Plant availability less
86 | Fenchugonj CCPP Phase-2 | Gas | PDB | 2*35+1*35 | 104 | 90 | 0 | 0 | 0 | 0 | 0 | 0 | Under Maintenance
87 | Kushiara 163 MW CCPP (KP) | Gas | IPP | 1*109+1*54 | 163 | 163 | 151 | 148 | 163 | 163 | 163 | 163 | AGC
88 | Shajibazar 330 MW CCPP | Gas | PDB | 3*110 | 330 | 330 | 142 | 143 | 145 | 145 | 145 | 145 | STG Under Maintenance
91 | Shahjibazar GTPP Unit- 8 & 9 | Gas | PDB | 2*35 | 70 | 66 | 30 | 30 | 30 | 30 | 30 | 30 | GT-9 Under Maintenance
92 | Shahjibazar 86MW PP (Shahjibazar) | Gas | RPP | 32*2.90 | 86 | 86 | 52 | 82 | 83 | 83 | 53 | 53 | Gas Restrction
93 | Shahjibazar 100 MW GTPP | Gas | PDB | 1*100 | 100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | machine problem
94 | Sylhet 225 MW CCPP | Gas | PDB | 1*142+1*89 | 231 | 231 | 101 | 100 | 102 | 102 | 102 | 102 | ST Under Maintenance
95 | Sylhet  20 MW GTPP | Gas | PDB | 1*20 | 20 | 20 | 0 | 0 | 20 | 20 | 0 | 0 | -
96 | Shahjahanulla 25 MW PP | Gas | SIPP,REB | 3*9.34 | 25 | 25 | 17 | 17 | 25 | 25 | 25 | 25 | -
97 | Bibiana-II 341 MW CCPP (Summit) | Gas | IPP | 1*222+1*119 | 341 | 341 | 320 | 310 | 341 | 341 | 307 | 307 | FGMO
98 | Bibiyana-III 400 MW CCPP | Gas | PDB | 285*1+134*1 | 400 | 400 | 285 | 319 | 320 | 320 | 320 | 320 | Machine Problem
99 | Bibiyana South 400 MW | Gas | PDB | 1*400 | 383 | 383 | 0 | 0 | 0 | 0 | 0 | 0 | Under Maintenance
Sylhet Area Total |  |  |  |  | 2350 | 2325 | 1132 | 1177 | 1257 | 1257 | 1173 | 1173
100 | Bheramara GTPP Unit-3 | HSD | PDB | 1X20 | 20 | 16 | 0 | 0 | 0 | 0 | 0 | 0 | Contract Expired
** | Bheramara (HVDC ) | Import | Import | 2X500 | 1000 | 1000 | 891 | 798 | 1000 | 1000 | 1000 | 1000 | -
101 | Faridpur 50 MW Peaking PP | HFO | PDB | 8*6.89 | 54 | 54 | 0 | 0 | 0 | 0 | 0 | 0 | Engine Problem
102 | Khulna 225 MW CCPP | HSD/Gas | NWPGCL | 1X150+1X75 | 230 | 230 | 0 | 0 | 230 | 230 | 0 | 0 | -
103 | Gopalganj 100 MW Peaking PP | HFO | PDB | 16*6.98 | 109 | 109 | 23 | 35 | 50 | 50 | 0 | 0 | Liquid fuel shortage
104 | Bheramara 410 MW CCPP | Gas | NWPGCL | 1X278+1X132 | 410 | 410 | 0 | 0 | 410 | 410 | 0 | 0 | Gas shortage
105 | Rupsha 105 MW PP (Orion rupsha) | HFO | IPP | 6*18.445 | 105 | 105 | 0 | 0 | 105 | 105 | 0 | 0 | Liquid fuel shortage
106 | Madhumati 100 MW PP | HFO | NWPGCL | 6*18 | 105 | 105 | 0 | 15 | 105 | 105 | 15 | 15 | Liquid fuel shortage
107 | Mongla Orion 100 MW Solar PP | Solar | IPP | 100 | 100 | 100 | 39.85 | 0 | 85 | 0 | 85 | 0 | -
108 | Khulna 330 MW CCPP | HSD/Gas | PDB | 1*220+1*110 | 336 | 336 | 27 | 151 | 336 | 336 | 100 | 100 | Fuel shortage
109 | Rampal 1320 MW (BIFPCL) | Coal | PDB | 660*2 | 1234 | 1234.2 | 392 | 450 | 450 | 450 | 560 | 560 | U-2 Under Maintenance
** | HVDC(Nepal) | Import | Import | 1*40 | 0 | 40 | 38 | 38 | 40 | 40 | 38 | 38 | -
Khulna Area Total |  |  |  |  | 3703 | 3739.2 | 1410.85 | 1487 | 2811 | 2726 | 1798 | 1713
 | Patuakhali 1320 MW (RNPL) | Coal | RNPL | 660*2 | 1320 | 1244 | 1000 | 1000 | 1050 | 1050 | 1050 | 1050 | -
110 | Barisal 110 MW PP (Summit ) | HFO | IPP | 7X17.076 | 110 | 110 | 16 | 48 | 110 | 110 | 16 | 16 | Liquid fuel shortage
111 | Bhola  33 MW PP (Venture) | Gas | NENP | 1X34.50 | 40 | 11.04 | 0 | 0 | 0 | 0 | 0 | 0 | Contract Expired
112 | Bhola 225 MW  CCPP | Gas | PDB | 2X63+1X68 | 194 | 194 | 62 | 65 | 65 | 65 | 65 | 65 | GT-1 & ST under maint
113 | Payra 1320 MW | Coal | BCPCL | 2*622 | 1244 | 1244 | 1160 | 1165 | 1244 | 1244 | 1184 | 1184 | FGMO
114 | Bhola Nutan Biddut BD LTD | Gas/HSD | IPP | 2*75+1*75 | 220 | 220 | 220 | 220 | 220 | 220 | 220 | 220 | Subjected to Grid Voltage
115 | United Payra Power Ltd. | HFO | IPP | 8*18.5+1*9.5 | 150 | 150 | 17 | 17 | 150 | 150 | 17 | 17 | Liquid fuel shortage
116 | Barisal 307 MW | Coal | BCPCL | 307X1 | 307 | 307 | 272 | 284 | 307 | 307 | 287 | 287 | -
117 | Barisal 1 MW Solar Plant | Solar | IPP |  | 1 | 1 | 0.31 | 0 | 1 | 0 | 1 | 0 | -
Barishal Area Total |  |  |  |  | 3586 | 3481.04 | 2747.31 | 2799 | 3147 | 3146 | 2840 | 2839
 | Pabna 64 MW Solar Plant | Solar | PDB | 11*6.6 | 64 | 64.55 | 55.69 | 0 | 54 | 0 | 54 | 0 | Contract Expired
118 | Baghabari 71 MW GTPP | Gas | PDB | 1X71 | 71 | 70 | 0 | 0 | 0 | 0 | 0 | 0 | Gas shortage
 | Baghabari  100 MW GTPP | Gas | PDB | 1*100 | 100 | 100 | 0 | 0 | 0 | 0 | 0 | 0 | Machine Under Maintenance
119 | Baghabari  50 MW Peaking PP | HFO | PDB | 6*8.9 | 52 | 52 | 0 | 47 | 47 | 47 | 0 | 0 | Liquid fuel shortage
120 | Bera 70 MW Peaking PP | HFO | PDB | 9*8.29 | 71 | 71 | 0 | 10 | 32 | 32 | 10 | 10 | Engine Problem
122 | Katakhali 50 MW Peaking PP | HFO | PDB | 6*8.7 | 50 | 50 | 12 | 25 | 32 | 32 | 32 | 32 | Partial Shutdown due to maintenance
123 | Sirajgonj 225MW CCPP Unit-1 | Gas/HSD | NWPGCL | 1*150+1*75 | 210 | 214 | 10 | 166 | 214 | 214 | 200 | 200 | Gas shortage
124 | Sirajgonj 225MW CCPP Unit-2 | Gas/HSD | NWPGCL | 1*150+1*75 | 220 | 220 | 179 | 50 | 220 | 220 | 0 | 0 | Gas shortage
125 | Sirajgonj 225MW CCPP Unit-3 | Gas/HSD | NWPGCL | 1*141 | 220 | 220 | 178 | 165 | 220 | 220 | 182 | 182 | Gas shortage
126 | Sirajgonj 400 MW CCPP Unit-4 | Gas/HSD | NWPGCL | 1*282+1*132 | 414 | 413.792 | 377 | 377 | 413.79 | 413.79 | 372.41 | 372.41 | AGC
127 | Santahar  50 MW Peaking PP | HFO | PDB | 6*8.7 | 50 | 50 | 0 | 0 | 32 | 32 | 24 | 24 | Engine Problem
129 | Natore 52 MW PP (Rajlanka) | HFO | IPP | 6*8.92 | 52 | 52.2 | 0 | 0 | 52.2 | 52.2 | 0 | 0 | Liquid fuel shortage
130 | Chapainawabganj 100 MW Peaking PP | HFO | PDB | 12*8.924 | 104 | 104 | 0 | 83 | 92 | 92 | 0 | 92 | Liquid fuel shortage
131 | Bagura 113 MW PP (Confidence)-2 | HFO | IPP | 6*18.55+7.2 | 113 | 113 | 0 | 50 | 113 | 113 | 0 | 35 | Liquid fuel shortage
132 | Bagura 113 MW PP (Confidence)-1 | HFO | IPP | 6*18.55 | 113 | 113 | 0 | 35 | 113 | 113 | 0 | 35 | Liquid fuel shortage
133 | Sirajgonj 6.55 MW Solar | Solar | NWPGCL |  | 6 | 6.12 | 5.24 | 0 | 5.6 | 0 | 5.6 | 0 | -
** | Adani Power Jharkhanda Ltd | Import | Import | 2*673 | 1496 | 1469.13 | 1479.54 | 1476.39 | 1469.13 | 1469.13 | 1469.13 | 1469.13 | FGMO
134 | Sirajganj 68 MW Solar Park | Solar | IPP |  | 68 | 68 | 49.7 | 0 | 61 | 0 | 61 | 0 | -
 | Pabna Solar 100 MW | Solar | IPP |  | 0 | 100 | 100 | 0 | 100 | 0 | 100 | 0 | -
 | Sirajganj 2 MW Wind Power Plant | Wind | PDB | 0.25*8 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | Contract Expired
Rajshahi Area Total |  |  |  |  | 3476 | 3552.792 | 2446.17 | 2484.39 | 3270.72 | 3050.12 | 2510.14 | 2451.54
 | Saidpur 150 MW Simple Cycle Power Plant | HSD | PDB | 1*150 | 150 | 162.443 | 0 | 0 | 0 | 0 | 0 | 0 | -
135 | Barapukuria TPP Unit-1 & 2 | Coal | PDB | 1*125+1*125 | 250 | 170 | 35 | 37 | 40 | 40 | 46 | 46 | U-2 Under maint.
136 | Barapukuria 275 MW TPP Unit-3 | Coal | PDB | 1*275 | 274 | 274 | 175 | 180 | 200 | 200 | 200 | 200 | machine problem
137 | Rangpur 20 MW  GTPP | HSD | PDB | 1*20 | 20 | 20 | 0 | 0 | 20 | 20 | 20 | 20 | -
138 | Saidpur 20 MW GTPP | HSD | PDB | 1*20 | 20 | 20 | 0 | 0 | 14 | 14 | 14 | 14 | -
139 | Rangpur 113 MW PP (Confidence) | HFO | IPP | 9*6.984+7*7.015+3.15*2 | 113 | 113 | 0 | 34 | 113 | 113 | 0 | 35 | Liquid fuel shortage
140 | Sympa Solar Power 8 MW | Solar | IPP |  | 8 | 8 | 6.3 | 0 | 6 | 0 | 6 | 0 | -
141 | Energypac Power Venture Thakurgaon Ltd. | HFO | IPP |  | 115 | 115 | 95 | 95 | 115 | 115 | 95 | 95 | Liquid fuel shortage
142 | Intraco Solar 30 MW | Solar | IPP | 1*30 | 30 | 30 | 23 | 0 | 30 | 0 | 30 | 0 | -
143 | Teesta Solar Limited | Solar | BCPCL |  | 200 | 200 | 167 | 0 | 110.6 | 0 | 110.6 | 0 | -
Rangpur Area Total |  |  |  |  | 1180 | 1112.443 | 501.3 | 346 | 648.6 | 502 | 521.6 | 410
System Total |  |  |  |  | 28843.2 | 29323.517 | 13725.37 | 15298.25 | 24028.28 | 23518.14 | 15409.43 | 15977.49
 |  |  |  | Forecast Scenario (28-06-2026)
 |  |  |  | Hour | Generation |  | Load-Shed |  | Demand
 |  |  |  | 1900-01-01 | 14780 |  | 2502.1 |  | 17400
 |  |  |  | 1900-01-01 | 14220 |  | 2530.75 |  | 16870
 |  |  |  | 1900-01-01 | 14110 |  | 2358.85 |  | 16580
 |  |  |  | 1900-01-01 | 14030 |  | 2186.95 |  | 16320
 |  |  |  | 1900-01-01 | 13990 |  | 2062.8 |  | 16150
 |  |  |  | 1900-01-01 | 13570 |  | 2253.8 |  | 15930
 |  |  |  | 1900-01-01 | 13270 |  | 2005.5 |  | 15370
 |  |  |  | 1900-01-01 | 13640 |  | 1575.75 |  | 15290
 |  |  |  | 1900-01-01 | 13710 |  | 1508.9 |  | 15290
 |  |  |  | 1900-01-01 | 13690 |  | 1680.8 |  | 15450
 |  |  |  | 1900-01-01 | 13360 |  | 1948.2 |  | 15400
 |  |  |  | 1900-01-01 | 13760 |  | 1699.9 |  | 15540
 |  |  |  | 1900-01-01 | 14200 |  | 1766.75 |  | 16050
 |  |  |  | 1900-01-01 | 14340 |  | 1719 |  | 16140
 |  |  |  | 1900-01-01 | 14330 |  | 1843.15 |  | 16260
 |  |  |  | 1900-01-01 | 14240 |  | 2177.4 |  | 16520
 |  |  |  | 1900-01-01 | 14230 |  | 2081.9 |  | 16410
 |  |  |  | 1900-01-01 | 14220 |  | 1804.95 |  | 16110
 |  |  |  | 1900-01-01 | 15100 |  | 668.5 |  | 15800
 |  |  |  | 1900-01-01 | 15200 |  | 668.5 |  | 15900
 |  |  |  | 1900-01-01 | 15230 |  | 1976.85 |  | 17300
 |  |  |  | 1900-01-01 | 15340 |  | 2444.8 |  | 17900
 |  |  |  | 1900-01-01 | 15410 |  | 2397.05 |  | 17920
 |  |  |  | 1900-01-01 | 15650 |  | 2053.25 |  | 17800
 |  |  |  | 1900-01-01 | 15360 |  | 2139.2 |  | 17600
 |  |  |  | 1900-01-01 | 15270 |  | 2034.15 |  | 17400
